 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
3.03,0.51,3.91,0.98,0.35,0.35,0.37,0.68,0,0,0.69,0.45,1.3,0,1.71,0,0.04,0
1.68,0,1.7,0.37,0.29,2.03,0.59,0.56,0,0,0.95,1.04,0.05,0,1.02,0,0,0
1.88,0,3.63,0,0.16,0.7,0.95,1.75,0,1.1,1.5,1.96,0,0,0.87,0,0.17,0
2.78,0.05,3.29,0.63,0.42,0.88,0.87,0.67,0,0,0.95,0.12,1.04,0,2.12,0,0,0
1.21,0,2.01,0,0.84,1.52,0.01,2.09,0.03,0,2.46,1.61,0,0,0.6,0,0,0
1.23,0.28,1.47,0,0.79,2.86,0.74,2.44,1.21,0.89,1.86,0.38,1.4,0.47,1.87,1.34,0,0
1.03,0.97,2.79,0.58,0.66,1.98,0,0,0.31,0,0.93,0.55,0.05,0,0.6,0,0,0
3.22,1.52,3.08,0,0.53,1.14,0,2.02,1.04,1.39,2.2,1.86,0.98,0.15,0.29,0.06,0,0
0.69,0,2.54,0,1.09,3.34,1.09,1.47,0.69,1.32,1.5,0.57,1.79,0.48,1.06,0.35,0,0
1.75,0.51,2.94,0.24,1.24,3.05,0.47,1.38,0.48,0,1.84,1.31,1.01,0.63,0.28,0.5,0.06,0
1.58,1.27,0,0.68,1.04,1.23,0.16,1.37,1.55,0.29,0.46,0.21,1.83,0.4,1.93,1.2,0,0
2.2,1.01,2.46,0.36,2.03,1.31,0.82,1.69,1.79,2.2,0,0.69,0,0,1.9,1.11,0.25,0
2.27,0,0.93,0,0.19,2.3,0,0.03,0,0,0,0.83,0.29,0,0,0.79,0,0
1.36,0,0.15,0,0.65,3.87,0.03,0,0,0,0.37,0.23,1.06,0.13,0,0,0,0
1.69,0,0.02,0,0.19,2.41,0,0.08,0,0,0.49,0.39,1.06,0.21,0,0,0,0
0.98,0.07,0,0.73,0,0.72,0,0,0,0,0,0.5,0.42,0.11,0,0,0,0
2.77,0,0,0,0.34,2.13,0,0.03,0.44,0,0.27,0.2,0.07,0,0,0.08,0,0
2.55,0.77,1.03,0,0.96,1.5,0,0.87,1.24,1,0.66,1.84,0.7,0.21,0,1.35,0,0
3.41,2.21,0.16,0,0.58,2.34,0,0,0.07,0,0.19,0,0.66,0,0.74,0.06,0,0
2.48,1.54,0,0.25,0.97,2.37,0,0,0.35,0.5,0.07,0.16,1.18,0,0.43,1,0,0
2.82,1.67,0.75,0,0.85,3.45,0,0.38,0.6,0,0.82,0,2.07,0,0.63,1.47,0,0
1.52,0.33,0.55,0,0.03,1.45,0,0,0,0,0,0.43,0.46,0,0,0,0,0
1.18,0.51,0.03,0.92,0.63,2.89,0,0,0,0,0,0.22,0.1,0.14,0,0,0,0
1.24,0.36,0,0.76,0.72,1.9,0,0,1.05,0.06,0.11,0.22,2,0,1.17,0.18,0,0
1.88,0.09,0,0,0.58,2.27,0,0,0.28,1.25,0.42,0.38,1.68,0.15,0.42,0.56,0,0
1.71,0.53,0.83,0.57,0.89,0.82,0,1.28,2.33,2.42,0.91,2.29,1.43,0.01,1.08,1.8,0,0
2.63,0.78,0.24,0,0.35,2.49,0,0.67,0,0.22,0.64,0,1.29,0,0.75,0.41,0,0
1.65,0,0.28,0,0.37,2.98,0,0.12,0,0,0.17,0.72,0.54,0,0,0,0,0
2.32,0.64,0.37,0,0.28,2.22,0,0.31,0.1,0,0,0.34,0.22,0.07,0,0.13,0,0
1.36,0,0.36,0,0.44,3.9,0,0,0,0,0,0.09,0.26,0,0,0.06,0,0
1.66,0.15,0.94,0,0.42,2.91,0,0.57,0,0,0.1,0,1.04,0,0.21,0.18,0,0
1.53,0,0.32,0,0.64,3.55,0,0,0,0,0.09,0.34,0.48,0,0,0,0,0
1.85,0.07,0,0,0.38,3.01,0,0,0.03,0,0.13,0,0.59,0.28,0,0,0,0
2.33,0.83,1.02,0,0.48,2.19,0,0.91,0.45,0.29,0.26,0.58,1.39,0.1,0.05,0.24,0,0
1.52,0,0.3,0,0.51,3.34,0,0.44,0,0,0.03,0.84,0.6,0,0,0.28,0,0
1.97,0,0.29,0,0,1.47,0,0,0,0,0.23,0.05,0.69,0,0,0,0,0
1.31,0.17,0.59,0,0.29,2.51,0,0.16,0,0,0.59,0.87,0.53,0,0,0,0,0
1.89,0.24,0.1,0,0.61,3.33,0,0.32,0.29,0.23,0.35,0.62,0.21,0.16,0,0,0,0
2.15,1.02,0.82,0,1.15,4.08,0.44,1.08,0.81,1.33,0.5,1.06,1.72,0,1.67,1.73,0,0
1.84,1.39,0.39,0,0.81,3.51,0.04,0.91,0.72,1,0,1.06,1.39,0.05,1.08,1.45,0,0
2.11,0.41,0,0,0.32,2,0,0,0,0,0.87,0,1.29,0,0.51,0,0,0
1.08,0,0,0,0.17,2.35,0,0,0.1,0,0,0,1.32,0.23,0,0,0,0
2.43,0.65,0.64,0.16,0.71,2.08,0,0,0.27,1.22,1.9,0.44,1.78,0,0.15,0,0,0
2.51,1.33,0.65,0,0.8,2.7,0,0.31,0.41,0,0.81,1.38,1.6,0.35,0.66,0,0,0
1.21,0.74,1.05,0,0.18,1.38,0,0.88,0.21,0.06,0.09,0.9,0.79,0,0.72,0.46,0,0
2.76,0.96,0.82,0,0.34,0.65,0,0.49,0.62,1.71,1.01,1.26,1.1,0,0.28,0,0,0
1.53,0.63,0.36,0,0.35,3.16,0,0,0,0.4,0,0.25,0,0,0,0.56,0,0
1.37,0,0,0.2,0.35,2.21,0,0,0,0,0.22,0.37,0.81,0,0,0,0,0
1.77,0.3,0,0,0.69,1.82,0,0.25,0.39,0.78,1.16,0.72,1.48,0.36,0,0,0,0
2.37,0.31,0.11,0.21,0.06,1.63,0,0,0,0.08,0.87,0.74,0.06,0,0,0,0,0
